COCO_val2014_000000217153#0	一个男人和一个女人穿着军装玩手机。
COCO_train2014_000000128475#0	三个甜甜圈旁边放着三种不同口味的蘸酱
COCO_val2014_000000498374#0	一个人正透过白色的门框向厕所中拍照
COCO_val2014_000000527038#0	雨天行人打着伞顶着风行走在街道上
COCO_val2014_000000481009#0	一间卧室的桌子上放着三个花瓶，其中一个花瓶插满了鲜花
COCO_val2014_000000393857#0	一只白色的小狗睡在沙发上
COCO_val2014_000000404889#0	在野外，一只长颈鹿在吃树上的树叶
COCO_train2014_000000235838#0	两只斑马站警惕地站在草原上
COCO_val2014_000000375521#0	下雪天一个男人和一个女人拿着滑雪板站在雪地上
COCO_train2014_000000333920#0	一个穿着蓝色衣服的年轻人在冲浪
COCO_train2014_000000266680#0	在乡下的道路边有一匹棕色的马
COCO_train2014_000000122117#0	白色的生日蛋糕上插了一个金属光泽的音符雕塑
COCO_train2014_000000188390#0	两个戴着白色帽子的小女孩在雪地上滑雪
COCO_train2014_000000460290#0	下雪天一个红色的消防栓旁有一颗树
COCO_train2014_000000214655#0	一头大象站在矮墙后面觅食
COCO_val2014_000000001296#0	一个表情怪异的女人拿着手机对着手持化妆镜化妆
COCO_train2014_000000049878#0	地上放着三个泰迪熊毛绒玩具
COCO_val2014_000000196798#0	多头大象遵守交通规则的走在车行道上
COCO_train2014_000000290024#0	公园里的长椅上放着各式各样的毯子
COCO_train2014_000000314725#0	一对斑马在枯黄的草原上吃草
COCO_train2014_000000192780#0	一个碗里装着水果蔬菜沙拉
COCO_train2014_000000256884#0	一个年轻的女人在网球场上打网球
COCO_train2014_000000449056#0	一个冲浪男人站在海滩上靠着冲浪板摆拍
COCO_train2014_000000124728#0	一个男人在动物园里的铁栅栏后面
COCO_train2014_000000061825#0	卫生间里有一面镜子和一个猫头鹰形状的钟表
COCO_val2014_000000120441#0	一个棒球运动员正在准备投球
COCO_train2014_000000193148#0	桌子上放着许多游戏光盘和游戏手柄
COCO_train2014_000000194553#0	一间有一张小床和一张桌子以及书柜的带有窗户的房间
COCO_train2014_000000133410#0	两个人坐在沙滩上，远处天空中有许多滑翔伞
COCO_train2014_000000377254#0	两架分别喷出红色和绿色尾气的飞机在空中飞行
COCO_train2014_000000375248#0	三个穿蓝色衣服的人和一个穿红色衣服的人站在一辆红色的火车旁边
COCO_val2014_000000521181#0	一间卧室中有一张大床，床上有杯子和枕头，床边有一盏灯
COCO_train2014_000000265329#0	蘸有红色酱汁的卷心菜的三明治
COCO_train2014_000000216223#0	一个穿着绿色衣服的女人在房间里玩电子游戏
COCO_train2014_000000210731#0	路牌后的一面张贴了各种海报的红色建筑物
COCO_val2014_000000112437#0	两个人在桌子前，一人手里拿着刀，一人手里拿着蜡烛在制作生日蛋糕
COCO_train2014_000000071503#0	一座古老的建筑物前有一个巨大的钟楼
COCO_val2014_000000491985#0	一只黑色的猫蜷缩在沙发上
COCO_val2014_000000579453#0	一个玻璃花瓶里插着一束黄色的花
COCO_train2014_000000258400#0	在游泳馆里有许多人在游泳
COCO_train2014_000000080788#0	阴天的天空中有三架飞机在飞行
COCO_train2014_000000222470#0	坐在一个背包旁边的一个男人和街边的一只狗
COCO_val2014_000000235239#0	两只斑马在野外的草地上散步
COCO_train2014_000000228419#0	两块曲奇饼干间夹着一块黄油
COCO_train2014_000000061452#0	在城市的街道上有有多人和一辆马车
COCO_train2014_000000455496#0	一个戴着黑色帽子的男人在玩电子游戏
COCO_val2014_000000151081#0	有一架飞机正要降落在草地旁的飞机跑道上
COCO_val2014_000000037725#0	桌子上放着一块巧克力蛋糕
COCO_train2014_000000125814#0	在餐厅里的桌子上摆着一个空杯子和一杯酒
COCO_val2014_000000218224#0	一架白色的飞机停在机场的跑道上
